Z_SCORE	ID_STUDY	GENE_NAME
-0.202	377	ALX3
-0.285	377	ALX4
-0.086	377	AMACR
-0.412	377	AMBN
-0.263	377	AMBP
-0.07200000000000001	377	AMBRA1
-0.129	377	AMD1
-0.227	377	AMDHD1
-0.095	377	AMDHD2
-0.183	377	AMELX
-0.06	377	AMER1
-0.204	377	AMFR
-0.292	377	AMH
-0.259	377	AMHR2
-0.3720000000000001	377	AMICA1
-0.315	377	AMIGO1
-0.309	377	AMIGO2
-0.301	377	AMIGO3
-0.16	377	AMMECR1
-0.051	377	AMMECR1L
-0.414	377	AMN
-0.156	377	AMN1
-0.341	377	AMOT
-0.222	377	AMOTL1
-0.268	377	AMOTL2
-0.333	377	AMPD1
-0.056	377	AMPD2
-0.152	377	AMPD3
-0.237	377	AMPH
-0.245	377	AMT
0.0	377	AMTN
-0.162	377	AMY1A
-0.272	377	AMY2A
-0.238	377	AMY2B
-0.273	377	AMZ1
-0.068	377	AMZ2
0.058	377	ANAPC1
-0.163	377	ANAPC10
-0.086	377	ANAPC11
-0.197	377	ANAPC13
-0.086	377	ANAPC16
0.031	377	ANAPC2
-0.065	377	ANAPC4
0.043	377	ANAPC5
-0.08199999999999999	377	ANAPC7
-0.35600000000000004	377	ANG
-0.01	377	ANGEL1
-0.003	377	ANGEL2
-0.246	377	ANGPT1
-0.271	377	ANGPT2
-0.42	377	ANGPT4
-0.382	377	ANGPTL1
-0.362	377	ANGPTL2
-0.331	377	ANGPTL3
-0.284	377	ANGPTL4
-0.354	377	ANGPTL5
-0.243	377	ANGPTL6
-0.204	377	ANGPTL7
-0.334	377	ANK1
-0.392	377	ANK2
-0.413	377	ANK3
-0.029	377	ANKAR
-0.2	377	ANKDD1A
-0.226	377	ANKFN1
-0.294	377	ANKFY1
-0.269	377	ANKH
-0.17800000000000002	377	ANKHD1
-0.245	377	ANKHD1-EIF4EBP3
-0.149	377	ANKIB1
-0.314	377	ANKK1
-0.135	377	ANKLE1
-0.14300000000000002	377	ANKLE2
-0.014	377	ANKMY1
-0.099	377	ANKMY2
-0.157	377	ANKRA2
-0.221	377	ANKRD1
-0.17800000000000002	377	ANKRD10
-0.087	377	ANKRD11
-0.212	377	ANKRD12
-0.049	377	ANKRD13A
-0.309	377	ANKRD13B
-0.049	377	ANKRD13C
-0.24	377	ANKRD13D
-0.204	377	ANKRD16
0.0	377	ANKRD17
-0.276	377	ANKRD2
-0.274	377	ANKRD20A4
-0.366	377	ANKRD22
-0.095	377	ANKRD23
-0.28300000000000003	377	ANKRD24_ENST00000262970
-0.174	377	ANKRD26
-0.259	377	ANKRD27
-0.227	377	ANKRD28
-0.359	377	ANKRD29
-0.081	377	ANKRD30A
-0.253	377	ANKRD30B
-0.28	377	ANKRD31
-0.113	377	ANKRD32_ENST00000265140
-0.402	377	ANKRD33
-0.218	377	ANKRD34A
-0.274	377	ANKRD34B
-0.14400000000000002	377	ANKRD34C
-0.32299999999999995	377	ANKRD35
-0.055	377	ANKRD36
-0.17600000000000002	377	ANKRD36BP1
-0.321	377	ANKRD37
-0.114	377	ANKRD39
-0.127	377	ANKRD40
-0.11	377	ANKRD42
-0.208	377	ANKRD44
-0.249	377	ANKRD45
-0.047	377	ANKRD46
0.071	377	ANKRD49
-0.328	377	ANKRD5
-0.177	377	ANKRD50
-0.058	377	ANKRD52
-0.215	377	ANKRD53
-0.039	377	ANKRD54
-0.326	377	ANKRD55
-0.219	377	ANKRD58
-0.304	377	ANKRD6
-0.494	377	ANKRD7
-0.263	377	ANKRD9
-0.211	377	ANKS1A
-0.371	377	ANKS1B
-0.119	377	ANKS3
-0.245	377	ANKS4B
-0.29100000000000004	377	ANKS6
-0.113	377	ANKZF1
-0.223	377	ANLN
-0.29	377	ANO1
-0.086	377	ANO10
-0.156	377	ANO2
-0.18600000000000005	377	ANO3
-0.324	377	ANO4
-0.464	377	ANO5
-0.151	377	ANO6
-0.426	377	ANO7
-0.266	377	ANO8
-0.28	377	ANO9
-0.21600000000000005	377	ANP32A
-0.105	377	ANP32B
-0.149	377	ANP32C
-0.604	377	ANP32D
-0.207	377	ANP32E
-0.304	377	ANPEP
-0.297	377	ANTXR1
-0.18600000000000005	377	ANTXR2
-0.199	377	ANXA1
-0.191	377	ANXA10
-0.195	377	ANXA11_ENST00000447489
0.0	377	ANXA13
-0.234	377	ANXA2
-0.308	377	ANXA3
-0.12	377	ANXA4
-0.371	377	ANXA5
-0.109	377	ANXA6
-0.005	377	ANXA7
-0.1	377	ANXA9
-0.302	377	AOAH
-0.338	377	AOC2
-0.299	377	AOC3
-0.35	377	AOX1
-0.172	377	AP1AR
-0.252	377	AP1B1
-0.046	377	AP1G1
-0.099	377	AP1G2
-0.105	377	AP1M1
-0.221	377	AP1M2
-0.14300000000000002	377	AP1S1
-0.338	377	AP1S2
-0.301	377	AP1S3
-0.033	377	AP2A1
-0.067	377	AP2A2
0.009000000000000001	377	AP2M1
-0.163	377	AP2S1
-0.152	377	AP3B1
-0.28	377	AP3B2
-0.06	377	AP3D1
0.081	377	AP3M1
-0.104	377	AP3M2
-0.274	377	AP3S1
-0.096	377	AP3S2
-0.161	377	AP4B1
-0.095	377	AP4E1
-0.197	377	AP4M1
-0.17	377	AP4S1
-0.16699999999999998	377	APAF1
-0.405	377	APBA1
-0.294	377	APBA2
-0.078	377	APBA3
-0.326	377	APBB1
-0.075	377	APBB1IP
-0.345	377	APBB2
-0.07400000000000001	377	APBB3
-0.083	377	APC
-0.187	377	APC2
-0.41	377	APCDD1
-0.257	377	APCDD1L
-0.113	377	APCS
-0.166	377	APEH
-0.037000000000000005	377	APEX1
0.098	377	APEX2
-0.091	377	APH1A
-0.115	377	APH1B
0.017	377	API5
-0.162	377	APIP
-0.081	377	APITD1_ENST00000309048
-0.151	377	APLF
-0.234	377	APLN
-0.35200000000000004	377	APLNR
-0.15	377	APLP1
-0.219	377	APOA1
-0.179	377	APOA1BP
-0.307	377	APOA2
-0.122	377	APOA4
-0.373	377	APOA5
-0.285	377	APOB
-0.174	377	APOBEC1
-0.264	377	APOBEC2
-0.32299999999999995	377	APOBEC3A
-0.362	377	APOBEC3B
-0.059	377	APOBEC3C
-0.07	377	APOBEC3D
-0.036000000000000004	377	APOBEC3F
-0.04	377	APOBEC3G
-0.329	377	APOBEC3H
-0.362	377	APOBEC4
-0.276	377	APOC1
-0.317	377	APOC2
-0.302	377	APOC3
-0.35600000000000004	377	APOC4
-0.202	377	APOD
-0.316	377	APOE
-0.213	377	APOF
-0.078	377	APOH
-0.132	377	APOL1
-0.086	377	APOL2
-0.146	377	APOL3
-0.179	377	APOL5
-0.22	377	APOL6
-0.238	377	APOLD1
-0.184	377	APOM
-0.029	377	APOO
-0.128	377	APOOL
-0.147	377	APP
-0.009000000000000001	377	APPBP2
-0.179	377	APPL1
-0.062	377	APPL2
-0.16899999999999998	377	APRT
-0.127	377	APTX
-0.28600000000000003	377	AQP1
-0.3670000000000001	377	AQP10
-0.08900000000000001	377	AQP11
-0.317	377	AQP12A
-0.396	377	AQP12B
-0.166	377	AQP2
-0.382	377	AQP3
-0.396	377	AQP4
-0.119	377	AQP5
-0.339	377	AQP6
-0.312	377	AQP7
-0.25	377	AQP8
-0.399	377	AQP9
-0.021	377	AQR
-0.493	377	AR
0.022	377	ARAF
-0.224	377	ARAP1
-0.158	377	ARAP2
-0.349	377	ARAP3
-0.318	377	ARC
0.057	377	ARCN1
-0.308	377	AREG
-0.168	377	ARF1
-0.084	377	ARF3
-0.194	377	ARF4
-0.292	377	ARF5
-0.152	377	ARF6
-0.095	377	ARFGAP1
-0.094	377	ARFGAP2
-0.098	377	ARFGAP3
-0.048	377	ARFGEF1
-0.031	377	ARFGEF2
